FID, PD , LPI , ED , LSI , CONTAG , SHDI , SHEI , AI
2539,95.7031,95.8333,42.3607,1.15,75.6564,0.1732,0.2499,93.1713
2540,127.6041,100.0,0.0,1.0,0.0,0.0,0.0,100
2541,57.4219,37.8571,121.0307,2.0417,27.9598,0.5461,0.7878,83.0753
2542,47.8515,100.0,0.0,1.1,0.0,0.0,0.0,97.3684
2543,50.2441,88.125,63.5411,1.5769,55.0058,0.3517,0.5074,91.3205
2544,76.5625,88.3333,84.7215,1.4688,50.6469,0.3602,0.5197,88.3425
2545,35.8887,61.4583,187.0933,2.325,8.0072,0.6667,0.9618,73.0198
2546,45.8742,79.0634,132.1002,3.6389,32.0013,0.5,0.7214,80.5811
2547,41.0156,84.2857,72.6184,1.625,45.7929,0.4349,0.6274,90.6518
2548,38.2812,100.0,0.0,1.0,0.0,0.0,0.0,100
2549,56.9473,63.6364,151.2384,2.2273,13.4213,0.6555,0.9457,78.942
2550,58.0019,84.8485,106.1158,1.775,41.5362,0.4253,0.6136,85.1406
2551,57.4219,81.1111,143.0852,2.4444,32.0627,0.4846,0.6991,78.6073
2552,22.0853,98.7179,17.3788,1.16,89.7658,0.0686,0.099,97.3226
2553,95.7031,84.7222,141.2025,1.8824,38.1956,0.4275,0.6167,78.6251
2554,85.0694,81.4815,129.6971,1.8611,33.4463,0.4792,0.6913,81.5298
2555,42.2414,91.4943,74.7886,2.1905,59.4702,0.291,0.4198,88.7896
2556,51.0417,37.7778,161.9122,2.2368,18.133,0.5908,0.8524,75.5224
2557,82.0312,92.8571,80.6871,1.3846,63.4681,0.2573,0.3712,87.1429
2558,35.7169,89.9522,72.9659,2.0976,56.3538,0.3261,0.4705,89.4344
2559,109.375,88.0952,80.6871,1.3846,51.109,0.365,0.5266,89.9688
2560,31.6939,90.9091,84.7215,2.54,57.0779,0.3046,0.4395,87.472
2561,15.3125,82.6667,111.8324,2.4143,37.8129,0.4611,0.6653,83.886
2562,43.0664,96.25,46.5968,1.3056,76.7396,0.1599,0.2307,92.7114
2563,27.3437,100.0,0.0,1.0,0.0,0.0,0.0,100
2564,38.2812,96.6667,28.2405,1.1562,79.8992,0.1461,0.2108,98.0667
2565,86.1328,80.0,135.5544,1.6154,29.5635,0.5004,0.7219,81.2308
2566,40.6013,84.8485,118.0966,2.1897,40.5674,0.4253,0.6136,82.3808
2567,32.8125,60.0,140.3956,1.8529,12.4279,0.673,0.971,81.1455
2568,109.375,90.4762,112.962,1.5385,54.7844,0.3145,0.4537,81.8594
2569,35.8887,90.625,75.6442,1.8333,57.5943,0.3111,0.4489,89.04
2570,95.7031,85.0,112.962,1.625,41.0736,0.4227,0.6098,83.4339
2571,49.131,87.8342,111.9049,3.2636,47.8201,0.3702,0.5341,83.3013
2572,45.333,68.4211,191.7381,2.8,12.9009,0.6237,0.8997,70.7111
2573,34.8011,77.8788,132.4736,2.7432,28.7783,0.5284,0.7624,80.8129
2574,38.2812,76.25,124.2582,2.4516,28.1121,0.5433,0.7838,82.1553
2575,61.25,53.3333,238.3498,4.0143,3.7322,0.6813,0.983,64.3221
2576,76.5625,92.2222,79.0734,1.5526,60.8237,0.2733,0.3943,88.5204
2577,89.4886,44.1558,198.0503,2.25,4.2243,0.6931,0.9999,71.0864
2578,51.5324,83.9744,135.7716,2.7639,37.6463,0.4401,0.6349,79.6099
2579,36.75,59.6,201.9761,3.4219,8.2191,0.66,0.9522,69.5278
2580,37.2466,75.3514,112.8399,3.541,33.6448,0.5078,0.7326,83.5669
2581,46.7689,46.1538,202.4115,3.2,6.7072,0.6741,0.9725,69.9657
2582,44.1707,60.6838,246.1992,4.8636,4.9552,0.6692,0.9655,63.0781
2583,41.0156,80.0,139.1853,2.6912,31.3241,0.4954,0.7147,79.3918
2584,57.9044,77.3109,172.2908,2.9516,24.216,0.5355,0.7726,74.3859
2585,37.379,92.8171,70.3635,2.5417,63.7298,0.2583,0.3727,89.5592
2586,65.7959,76.5625,137.6724,2.3929,26.384,0.5445,0.7856,80.1699
2587,19.9381,87.8472,81.1914,2.0147,50.6743,0.37,0.5337,88.5089
2588,35.7645,91.3495,64.4939,1.8088,61.2197,0.2861,0.4128,90.8323
2589,28.908,65.2174,200.8501,4.0833,10.8569,0.6402,0.9235,70.1926
2590,35.8887,37.2396,220.6289,4.125,4.682,0.6832,0.9857,67.1113
2591,38.2812,96.6667,33.8886,1.2368,79.1808,0.1461,0.2108,95.8387
2592,76.5625,96.6667,33.8886,1.1364,79.6825,0.1461,0.2108,94.6099
2593,74.3106,88.8235,103.6592,1.963,50.2412,0.3502,0.5052,84.2755
2594,35.5028,79.0323,133.4591,3.6636,30.9575,0.5099,0.7357,80.3677
2595,52.2017,70.1299,173.8441,2.58,16.4953,0.6041,0.8716,74.3778
2596,17.4006,96.2121,30.8078,1.2609,78.1771,0.1611,0.2325,96.7434
2597,34.8011,87.8788,61.6156,1.3529,53.2165,0.3693,0.5328,92.5152
2598,15.0123,98.6928,13.2896,1.1714,90.4287,0.0697,0.1005,98.1524
2599,52.2017,68.1818,218.222,2.8478,10.7866,0.6255,0.9024,66.9519
2600,58.8942,74.359,151.1953,2.5536,22.3591,0.5693,0.8213,78.239
2601,127.6041,83.3333,144.3403,1.7667,36.3278,0.4506,0.65,77.6316
2602,61.382,84.6552,141.3973,3.4694,38.7292,0.4286,0.6184,78.8443
2603,20.7862,94.7964,42.9358,1.6512,72.3861,0.2045,0.295,93.7787
