FID,PD,LPI,ED,LSI,CONTAG,SHDI,SHEI,AI
11838,9.3623,98.6413,9.2089,1.1282,91.1072,0.0719,0.1037,99.0258
11839,39.8763,94.4444,56.481,1.5417,69.0307,0.2146,0.3095,91.7159
11840,34.8011,92.9293,47.9233,1.4828,66.6766,0.2555,0.3686,93.4581
11841,35.2011,83.2695,106.4699,3.1964,39.8905,0.4516,0.6515,84.4972
11842,15.9505,97.6852,25.8871,1.3929,84.435,0.1101,0.1588,96.2143
11843,40.1551,97.2028,30.8078,1.2708,82.4841,0.1276,0.1841,95.2894
11844,14.8185,87.3118,64.8621,2.0568,52.5284,0.3804,0.5488,90.8213
11845,42.5347,87.4074,107.9415,1.8958,46.2845,0.3786,0.5462,83.9623
11846,42.5347,96.2963,40.7918,1.3095,77.0624,0.1584,0.2285,94.1325
11847,35.5921,89.4628,84.0213,2.3636,54.3255,0.3323,0.4794,87.7353
11848,28.5326,63.9752,198.9113,3.6528,9.945,0.648,0.9349,70.3919
11849,44.7443,81.6558,140.8357,3.56,33.503,0.4766,0.6875,79.1425
11850,48.6397,76.9412,144.3256,3.1548,26.5332,0.54,0.779,78.7817
11851,45.5729,88.6905,104.8933,2.7333,50.2534,0.3529,0.5092,84.4292
11852,39.1319,64.5926,160.155,4.0673,17.2677,0.6164,0.8893,76.5578
11853,69.411,82.4176,155.4779,3.1667,33.8896,0.465,0.6709,76.3993
11854,33.128,78.3654,123.8237,2.3103,30.268,0.5222,0.7534,82.2939
11855,31.901,95.8333,42.3607,1.2647,75.13,0.1732,0.2499,94.7486
11856,35.259,92.9825,65.3991,1.7097,64.0556,0.2541,0.3666,90.4785
11857,100.4883,70.0,237.2202,2.5556,12.7026,0.5999,0.8655,63.5991
11858,55.6818,79.0909,153.5256,3.8942,28.9772,0.5107,0.7368,77.1195
11859,27.5487,94.1529,56.3963,2.0673,69.0507,0.2227,0.3213,91.6854
11860,19.8864,93.5065,48.9013,1.9623,68.8895,0.2326,0.3355,92.862
11861,56.7908,78.5714,139.6508,2.3889,30.3182,0.5049,0.7285,79.7473
11862,42.5347,74.0741,138.0647,1.9167,23.8851,0.5589,0.8063,80.8398
11863,20.148,76.3158,142.6888,4.7183,26.3825,0.5455,0.787,79.0363
11864,20.5078,98.2143,16.1374,1.1538,87.9438,0.0896,0.1292,98.1379
11865,21.008,76.2195,136.7253,4.1825,26.9193,0.5462,0.7879,79.8683
